"concentration_mean","concentration_median","concentration_mean_filtered","concentration_median_filtered","prob_contamination","time_contaminated_mean","time_contaminated_median","max_contam_bout_mean","max_contam_bout_median","contacts_mean","contacts_median","transfers_mean","transfers_median","temp_niche_mean","temp_niche_median","niches_estab_mean","niches_estab_median","food_cont_mean","food_cont_median","zone4_cont_mean","zone4_cont_median","random_cont_mean","random_cont_median","conc_mid_mon_mean","conc_mid_mon_median","conc_mid_mon_mean_filtered","conc_mid_mon_median_filtered","prob_cont_mon","conc_mid_tue_mean","conc_mid_tue_median","conc_mid_tue_mean_filtered","conc_mid_tue_median_filtered","prob_cont_tue","conc_mid_wed_mean","conc_mid_wed_median","conc_mid_wed_mean_filtered","conc_mid_wed_median_filtered","prob_cont_wed","conc_mid_thu_mean","conc_mid_thu_median","conc_mid_thu_mean_filtered","conc_mid_thu_median_filtered","prob_cont_thu","conc_mid_fri_mean","conc_mid_fri_median","conc_mid_fri_mean_filtered","conc_mid_fri_median_filtered","prob_cont_fri"
1.99999997444679e-08,0,9.99999987223397e-06,9.99999987223397e-06,0.002,18.128,0,15.06,0,5.513,1,3.234,0,0.003,0,0,0,0,0,0,0,0.007,0,4.44999989381138e-07,0,2.96666659587426e-05,5e-06,0.015,1.59497926078083e-05,0,0.000212663901437444,1e-05,0.075,2.33448666512059e-05,0,0.000196175350010134,1e-05,0.119,2.75157876521822e-05,0,0.00019654134037273,1.5e-05,0.14,3.77717212644466e-05,0,0.000212200681260936,2e-05,0.178
0,0,NA,NA,0,3.873,0,3.646,0,1.182,0,0.538,0,0,0,0,0,0,0,0,0,0.01,0,4.58333333333333e-05,0,0.0458333333333333,0.0458333333333333,0.001,0.000304166666666667,0,0.0760416666666667,0.025,0.004,9e-04,0,0.05625,0.01875,0.016,0.00102498082035237,0,0.0445643834935811,0.00833333333333333,0.023,0.001225,0,0.0360294117647059,0.0104166666666667,0.034
0,0,NA,NA,0,0.418,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.000284836453602663,0,0.284836453602663,0.284836453602663,0.001,0.000284836453602663,0,0.284836453602663,0.284836453602663,0.001,0.000284836453602663,0,0.284836453602663,0.284836453602663,0.001,0.000284740262551679,0,0.284740262551679,0.284740262551679,0.001,0.00682801653163734,0,1.70700413290933,0.426758799469494,0.004
0,0,NA,NA,0,3.787,0,3.623,0,1.217,0,0.536,0,0.001,0,0,0,0,0,0,0,0.011,0,0,0,NA,NA,0,0.00144162299101831,0,0.720811495509156,0.720811495509156,0.002,0.00223733856073773,0,0.186444880061477,0.0208333333333333,0.012,0.00232083333333333,0,0.110515873015873,0.00833333333333333,0.021,0.00313749845044141,0,0.101209627433594,0.00833333333333333,0.031
0,0,NA,NA,0,4.118,0,3.918,0,1.215,0,0.543,0,0.003,0,0,0,0,0,0,0,0.012,0,2.91666666666667e-05,0,0.0291666666666667,0.0291666666666667,0.001,7.08333144232095e-05,0,0.0236111048077365,0.025,0.003,0.00357083210824281,0,0.324621100749346,0.00416666666666667,0.011,0.0174864194039166,0,0.582880646797221,0.00833333333333333,0.03,0.016269250762978,0,0.478507375381707,0.0125,0.034
0,0,NA,NA,0,3.471,0,3.215,0,1.191,0,0.494,0,0,0,0,0,0,0,0,0,0.009,0,0.00553333333333333,0,5.53333333333333,5.53333333333333,0.001,0.00506751185618062,0,1.68917061872687,0.00416666666666667,0.003,0.00912895045588956,0,0.702226958145351,0.00416666666666667,0.013,0.00854999938745474,0,0.37173910380238,0.00416666666666667,0.023,0.0079625,0,0.248828125,0.00833333333333333,0.032
0,0,NA,NA,0,3.776,0,3.432,0,1.124,0,0.485,0,0,0,0,0,0,0,0,0,0.016,0,4.16666666666667e-06,0,0.00416666666666667,0.00416666666666667,0.001,0.000545833333333333,0,0.181944444444444,0.025,0.003,0.00189996970449499,0,0.158330808707915,0.0270833333333333,0.012,0.00210414647944759,0,0.0956430217930724,0.0145833333333333,0.022,0.00335994248760923,0,0.0988218378708596,0.0145833333333333,0.034
2.91666666666667e-05,0,0.0291666666666667,0.0291666666666667,0.001,3.291,0,3.182,0,1.058,0,0.407,0,0.001,0,0,0,0,0,0,0,0.008,0,0,0,NA,NA,0,0.00335833333333333,0,0.559722222222222,0.0208333333333333,0.006,0.00339583333333333,0,0.424479166666667,0.0291666666666667,0.008,0.00356658939436573,0,0.237772626291049,0.0208333333333333,0.015,0.00373749348540494,0,0.162499716756737,0.0125,0.023
4.16666666666667e-06,0,0.00416666666666667,0.00416666666666667,0.001,3.21,0,2.975,0,1.107,0,0.419,0,0.001,0,0,0,0,0,0,0,0.004,0,0,0,NA,NA,0,0.0001375,0,0.0458333333333333,0.0583333333333333,0.003,0.000283589651563928,0,0.0283589651563928,0.0208227196621931,0.01,0.000608327092972567,0,0.033795949609587,0.0104166666666667,0.018,0.0010375,0,0.0357758620689655,0.0125,0.029
0,0,NA,NA,0,3.067,0,2.93,0,1.127,0,0.404,0,0,0,0,0,0,0,0,0,0.008,0,0,0,NA,NA,0,0.0224708333333333,0,5.61770833333333,5.13333333333333,0.004,0.0222124999951403,0,2.01931818137639,0.0125,0.011,0.0210052843223108,0,1.23560496013593,0.025,0.017,0.0295153780278948,0,0.983845934263161,0.0166666666666667,0.03
2.08333333333333e-05,0,0.0208333333333333,0.0208333333333333,0.001,3.78,0,3.663,0,1.147,0,0.488,0,0.002,0,0,0,0,0,0,0,0.008,0,4.16666666666667e-06,0,0.00416666666666667,0.00416666666666667,0.001,9.58333333333333e-05,0,0.0191666666666667,0.0125,0.005,0.000316666666666667,0,0.0316666666666667,0.0125,0.01,0.000741666666666667,0,0.028525641025641,0.00833333333333333,0.026,0.00102499505387577,0,0.0284720848298825,0.00416666666666667,0.036
0,0,NA,NA,0,0.288,0,0.141,0,0.445,0,0.711,0,0,0,0,0,0,0,0,0,0.008,0,0.00163250153789165,0,0.816250768945823,0.816250768945823,0.002,0.000241720830589452,0,0.120860415294726,0.120860415294726,0.002,0.000119307413167748,0,0.0298268532919369,0.0140655162926929,0.004,3.15990409013118e-05,0,0.0315990409013118,0.0315990409013118,0.001,5.88235294117647e-06,0,0.00294117647058824,0.00294117647058824,0.002
0,0,NA,NA,0,0.333,0,0.151,0,0.535,0,0.708,0,0,0,0,0,0,0,0,0,0.008,0,0,0,NA,NA,0,0.000179411764705882,0,0.0897058823529412,0.0897058823529412,0.002,1.17647058823529e-05,0,0.00392156862745098,0.00294117647058824,0.003,7.72227565301472e-06,0,0.00257409188433824,0.00293970326426409,0.003,8.82352941176471e-06,0,0.00294117647058824,0.00294117647058824,0.003
0,0,NA,NA,0,0.269,0,0.127,0,0.461,0,0.658,0,0,0,0,0,0,0,0,0,0.01,0,0,0,NA,NA,0,0.000128609291159067,0,0.0643046455795335,0.0643046455795335,0.002,0.000288202092719802,0,0.144101046359901,0.144101046359901,0.002,2.01862477466587e-05,0,0.00672874924888622,0.00294117647058824,0.003,4.19105814380831e-06,0,0.00209552907190415,0.00209552907190415,0.002
0,0,NA,NA,0,0.277,0,0.129,0,0.468,0,0.669,0,0,0,0,0,0,0,0,0,0.009,0,3.42911850419689e-05,0,0.0342911850419689,0.0342911850419689,0.001,0,0,NA,NA,0,8.73447051658866e-07,0,0.000873447051658866,0.000873447051658866,0.001,0.000138235288193011,0,0.0345588220482529,0.00441176470588235,0.004,2.94091977207459e-05,0,0.014704598860373,0.014704598860373,0.002
0,0,NA,NA,0,0.209,0,0.115,0,0.414,0,0.572,0,0,0,0,0,0,0,0,0,0.01,0,0,0,NA,NA,0,1.93856909627406e-05,0,0.00969284548137031,0.00969284548137031,0.002,5.58282668130901e-06,0,0.00279141334065451,0.00279141334065451,0.002,2.92619246427259e-06,0,0.00292619246427259,0.00292619246427259,0.001,5.25214401658749e-06,0,0.00262607200829375,0.00262607200829375,0.002
