"prevalence","zone","scenario"
7.52688172043011,"Z1","Baseline"
6.45161290322581,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
12.9032258064516,"Z1","Baseline"
15.0537634408602,"Z1","Baseline"
5.37634408602151,"Z1","Baseline"
11.8279569892473,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
10.752688172043,"Z1","Baseline"
17.2043010752688,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
0,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
0,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
9.67741935483871,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
0,"Z1","Baseline"
10.752688172043,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
10.752688172043,"Z1","Baseline"
9.67741935483871,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
9.67741935483871,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
16.1290322580645,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
10.752688172043,"Z1","Baseline"
10.752688172043,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
11.8279569892473,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
10.752688172043,"Z1","Baseline"
6.45161290322581,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
15.0537634408602,"Z1","Baseline"
9.67741935483871,"Z1","Baseline"
0,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
6.45161290322581,"Z1","Baseline"
13.9784946236559,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
0,"Z1","Baseline"
6.45161290322581,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
6.45161290322581,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
9.67741935483871,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
0,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
11.8279569892473,"Z1","Baseline"
18.2795698924731,"Z1","Baseline"
9.67741935483871,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
5.37634408602151,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
5.37634408602151,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
0,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
5.37634408602151,"Z1","Baseline"
5.37634408602151,"Z1","Baseline"
7.52688172043011,"Z1","Baseline"
8.60215053763441,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
15.0537634408602,"Z1","Baseline"
2.1505376344086,"Z1","Baseline"
6.45161290322581,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
3.2258064516129,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
4.3010752688172,"Z1","Baseline"
1.0752688172043,"Z1","Baseline"
11.8279569892473,"Z1","Baseline"
