"scenario","median","lower_quartile","upper_quartile"
"PR_01",0,-27.6,30
"PR_02",0,-36.3,33.3
"PR_03",0,-33.3,35.7
"LR_01",0,-12.1,25
"LR_02",0,0,33.3
"LR_03",0,0,40
"PZ_01",0,-33.3,33.3
"PZ_02",8.7,-28.9,41
"PZ_03",16.7,-12.9,50.5
"PZ_04",32.3,0,75
"LZ_01",16.7,-20,50
"LZ_02",28.6,0,66.6
"LZ_03",33.3,0,72.7
"EC_01",0,-33.3,32
"EC_02",7.1,-25,33.3
"EC_03",14.3,-27.6,40
"EC_04",33.3,-16.7,66.6
"MI_01",0,0,0
"MI_02",55.8,20,83.3
"AI_01",0,-20,25
"AI_02",49.9,10,75
"AI_02C1",NA,NA,NA
"AI_02C2",NA,NA,NA
"AI_03",0,-34.4,36.3
"AI_03C1",NA,NA,NA
"AI_03C2",NA,NA,NA
"AI_04",84.6,28.6,99.9
"CI_01",10,-33.3,41.6
"CI_02",83.3,33.3,99.9
"CI_03",83.3,28.6,99.9
