"scenario","median","lower_quartile","upper_quartile"
"PR_01",0,-16.7,13.6
"PR_02",0,-18.2,16.7
"PR_03",0,-20,16.7
"LR_01",0,-9.2,11.8
"LR_02",0,-6.5,14.3
"LR_03",0,-6.2,14.3
"PZ_01",0,-24.3,18.2
"PZ_02",0,-20,23.5
"PZ_03",2.9,-19.4,26.3
"PZ_04",6.7,-12.6,36.3
"LZ_01",0,-16.7,25
"LZ_02",5,-14.3,28.8
"LZ_03",6.7,-12.5,33.3
"EC_01",0,-15.8,22.8
"EC_02",8.6,-9.6,29.6
"EC_03",20,0,47
"EC_04",69.2,36.3,86.9
"MI_01",0,0,0
"MI_02",47.1,25,65.5
"AI_01",25,0,49.9
"AI_02",33.3,8.8,50
"AI_02C1",NA,NA,NA
"AI_02C2",NA,NA,NA
"AI_03",17.5,-5.1,40
"AI_03C1",NA,NA,NA
"AI_03C2",NA,NA,NA
"AI_04",0,-100,50
"CI_01",25,0,50
"CI_02",4.8,-76,55
"CI_03",15.4,-75.3,61.5
