"prevalence","area","scenario","water"
33.3333333333333,"loading","Baseline","Wet"
37.037037037037,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
40.7407407407407,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
40.7407407407407,"loading","Baseline","Wet"
55.5555555555556,"loading","Baseline","Wet"
37.037037037037,"loading","Baseline","Wet"
3.7037037037037,"loading","Baseline","Wet"
25.9259259259259,"loading","Baseline","Wet"
7.40740740740741,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
7.40740740740741,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
29.6296296296296,"loading","Baseline","Wet"
59.2592592592593,"loading","Baseline","Wet"
48.1481481481481,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
7.40740740740741,"loading","Baseline","Wet"
18.5185185185185,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
3.7037037037037,"loading","Baseline","Wet"
25.9259259259259,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
22.2222222222222,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
48.1481481481481,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
59.2592592592593,"loading","Baseline","Wet"
55.5555555555556,"loading","Baseline","Wet"
59.2592592592593,"loading","Baseline","Wet"
37.037037037037,"loading","Baseline","Wet"
29.6296296296296,"loading","Baseline","Wet"
62.962962962963,"loading","Baseline","Wet"
25.9259259259259,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
37.037037037037,"loading","Baseline","Wet"
14.8148148148148,"loading","Baseline","Wet"
59.2592592592593,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
48.1481481481481,"loading","Baseline","Wet"
59.2592592592593,"loading","Baseline","Wet"
33.3333333333333,"loading","Baseline","Wet"
29.6296296296296,"loading","Baseline","Wet"
55.5555555555556,"loading","Baseline","Wet"
37.037037037037,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
37.037037037037,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
59.2592592592593,"loading","Baseline","Wet"
0,"loading","Baseline","Wet"
48.1481481481481,"loading","Baseline","Wet"
40.7407407407407,"loading","Baseline","Wet"
51.8518518518518,"loading","Baseline","Wet"
3.7037037037037,"loading","Baseline","Wet"
3.7037037037037,"loading","Baseline","Wet"
55.5555555555556,"loading","Baseline","Wet"
