"prevalence","scenario","water"
45.2830188679245,"Baseline","Wet"
49.0566037735849,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
45.2830188679245,"Baseline","Wet"
58.4905660377358,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
62.2641509433962,"Baseline","Wet"
52.8301886792453,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
18.8679245283019,"Baseline","Wet"
9.43396226415094,"Baseline","Wet"
37.7358490566038,"Baseline","Wet"
5.66037735849057,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
41.5094339622642,"Baseline","Wet"
64.1509433962264,"Baseline","Wet"
54.7169811320755,"Baseline","Wet"
0,"Baseline","Wet"
0,"Baseline","Wet"
3.77358490566038,"Baseline","Wet"
11.3207547169811,"Baseline","Wet"
30.188679245283,"Baseline","Wet"
28.3018867924528,"Baseline","Wet"
0,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
22.6415094339623,"Baseline","Wet"
58.4905660377358,"Baseline","Wet"
13.2075471698113,"Baseline","Wet"
56.6037735849057,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
37.7358490566038,"Baseline","Wet"
0,"Baseline","Wet"
56.6037735849057,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
50.9433962264151,"Baseline","Wet"
62.2641509433962,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
37.7358490566038,"Baseline","Wet"
62.2641509433962,"Baseline","Wet"
28.3018867924528,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
41.5094339622642,"Baseline","Wet"
15.0943396226415,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
41.5094339622642,"Baseline","Wet"
52.8301886792453,"Baseline","Wet"
62.2641509433962,"Baseline","Wet"
37.7358490566038,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
52.8301886792453,"Baseline","Wet"
49.0566037735849,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
37.7358490566038,"Baseline","Wet"
58.4905660377358,"Baseline","Wet"
62.2641509433962,"Baseline","Wet"
0,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
35.8490566037736,"Baseline","Wet"
64.1509433962264,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
50.9433962264151,"Baseline","Wet"
3.77358490566038,"Baseline","Wet"
49.0566037735849,"Baseline","Wet"
45.2830188679245,"Baseline","Wet"
5.66037735849057,"Baseline","Wet"
69.811320754717,"Baseline","Wet"
16.9811320754717,"Baseline","Wet"
60.377358490566,"Baseline","Wet"
0,"Baseline","Wet"
56.6037735849057,"Baseline","Wet"
58.4905660377358,"Baseline","Wet"
67.9245283018868,"Baseline","Wet"
50.9433962264151,"Baseline","Wet"
52.8301886792453,"Baseline","Wet"
35.8490566037736,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
11.3207547169811,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
30.188679245283,"Baseline","Wet"
33.9622641509434,"Baseline","Wet"
0,"Baseline","Wet"
0,"Baseline","Wet"
7.54716981132075,"Baseline","Wet"
16.9811320754717,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
20.7547169811321,"Baseline","Wet"
0,"Baseline","Wet"
33.9622641509434,"Baseline","Wet"
58.4905660377358,"Baseline","Wet"
7.54716981132075,"Baseline","Wet"
3.77358490566038,"Baseline","Wet"
0,"Baseline","Wet"
67.9245283018868,"Baseline","Wet"
0,"Baseline","Wet"
45.2830188679245,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
3.77358490566038,"Baseline","Wet"
18.8679245283019,"Baseline","Wet"
35.8490566037736,"Baseline","Wet"
5.66037735849057,"Baseline","Wet"
9.43396226415094,"Baseline","Wet"
5.66037735849057,"Baseline","Wet"
35.8490566037736,"Baseline","Wet"
60.377358490566,"Baseline","Wet"
39.622641509434,"Baseline","Wet"
0,"Baseline","Wet"
13.2075471698113,"Baseline","Wet"
56.6037735849057,"Baseline","Wet"
20.7547169811321,"Baseline","Wet"
15.0943396226415,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
3.77358490566038,"Baseline","Wet"
1.88679245283019,"Baseline","Wet"
24.5283018867925,"Baseline","Wet"
7.54716981132075,"Baseline","Wet"
3.77358490566038,"Baseline","Wet"
0,"Baseline","Wet"
47.1698113207547,"Baseline","Wet"
43.3962264150943,"Baseline","Wet"
