"concentration","zone","scenario"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
3e-04,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
1e-04,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
1e-04,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
1e-04,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
1e-04,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.000222222222222222,"Z1","Baseline"
2.1290253625506e-05,"Z1","Baseline"
0,"Z1","Baseline"
0.0017,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.000502982241902564,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0016,"Z1","Baseline"
5e-04,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
6e-04,"Z1","Baseline"
0,"Z1","Baseline"
0.000111111111111111,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
3.80952380952381e-05,"Z1","Baseline"
0,"Z1","Baseline"
2.68257195681375e-05,"Z1","Baseline"
5.55555555555556e-05,"Z1","Baseline"
0.001,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0011,"Z1","Baseline"
0.0506666666666667,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
2.29934739155464e-05,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0212,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0055,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
3.82377055365504e-05,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0129,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0056,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
2.67663938755853e-05,"Z1","Baseline"
5.55555555555556e-05,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.000114285714285714,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.122980237000046,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
1.93801361524143,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0130663477790205,"Z1","Baseline"
0,"Z1","Baseline"
0.000111111111111111,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0083251509054326,"Z1","Baseline"
0.0045,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.000540689655172414,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.00295314285714286,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.437987852446503,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.000133333333333333,"Z1","Baseline"
0.0102037084820355,"Z1","Baseline"
0,"Z1","Baseline"
1.128,"Z1","Baseline"
5.55555555555556e-05,"Z1","Baseline"
0.00294117647058824,"Z1","Baseline"
0.0051,"Z1","Baseline"
0,"Z1","Baseline"
0.189904761904762,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
5.55555555555556e-05,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
22.0751,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0104,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.000833333333333333,"Z1","Baseline"
0,"Z1","Baseline"
0.0049,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0.0072,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
0,"Z1","Baseline"
