"","Var2","value","variable"
"1","crate_prevalence",0.233374453730473,"crate_prevalence"
"2","food_conc",0.698829308519591,"food_conc"
"3","food_tc",0.165490019130414,"food_tc"
"4","zone4_load",0.103590286073752,"zone4_load"
"5","p_random_noise",0.224048383863308,"p_random_noise"
"6","p_zone4_intro",0.153167022738067,"p_zone4_intro"
"7","p11",0.454097761349033,"p11"
"8","p21",0.141387746131922,"p21"
"9","p22",0.11756198544626,"p22"
"10","p31",0.206369061637636,"p31"
"11","tc11",0.108536837026704,"tc11"
"12","tc13",-0.124837930407173,"tc13"
